BookName,Category,Summary,Author
The Actor's Life,NonFiction,Jenna Fischer’s Hollywood journey began at the age of 22 when she moved to Los Angeles from her hometown of St. Louis. With a theater degree in hand,Jenna Fischer 
Where the Wild Coffee Grows,NonFiction,Coffee is one of the largest and most valuable commodities in the world. This is the story of its origins  its history  and the threat to its future ,Jeff Koehler 
Buzz,NonFiction,Once only whispered about in clandestine corners  vibrators have become just another accessory for the suburban soccer mom  showing up in all manner of pop culture,Hallie Lieberman
You Do You,NonFiction,From the New York Times bestselling author of The Life-Changing Magic of Not Giving a F*ck and Get Your Sh*t Together comes more straight talk,Sarah Knight
Counting Backwards,NonFiction,For many of the 40 million Americans who undergo anesthesia each year  it is the source of great fear and fascination. From the famous first demonstration of anesthesia in the Ether Dome at Massachusetts ,Henry Jay Przybylo 
The Planets,NonFiction,This magnificent volume offers a rich visual tour of the planets in our solar system. More than 200 breathtaking photographs from the archives of NASA are paired with extended captions,Nirmala Nataraj 
The Accidental President,NonFiction,The dramatic  pulse-pounding story of Harry Truman’s first four months in office  when this unlikely  small-town Washington outsider had to take on Germany  Japan  Stalin  and the atomic bomb,A.J. Baime 
Henry,NonFiction,When Katrina Shawver met the eighty-five year old Henry Zguda  he possessed an exceptional memory  a surprising cache of original documents and photos  and a knack for meeting the right people,Katrina Shawver
Here We Are Now,Music,Despite sending him letters ever since she was thirteen  Taliah Abdallat never thought she'd ever really meet Julian Oliver. But one day  while her mother is out of the country ,Jasmine Warga
Jacob's Ladder,Music,As the lead songwriter for Jacob’s Ladder  the last thing Gabe Renard needs is a debilitating case of writer’s block. After years of meaningless one night stands ,Katie Ashley
They Can't Kill Us Until They Kill Us,Music,In an age of confusion  fear  and loss  Hanif Abdurraqib's is a voice that matters. Whether he's attending a Bruce Springsteen concert the day after visiting Michael Brown's grave ,Hanif Willis-Abdurraqib 
Love on the Edge of Time,Music,He likes whiskey and wild women She likes Ben & Jerry’s He’s about to get kicked out of his own band She ate her way off the Miss America pageant circuit,Julie A. Richman
Manster,Music,I’m a rockstar on the run from the memories of my past. And pussies in palaces.   Record scratch. Rewind.   My name is Hudson Wyatt  and I raced cars until an injury ended my career.,Cari Quinn
Kneel ,Music,Dash Justice wrote the songs everyone sings. His face hangs on every girl’s wall. But Dash wasn’t always a rock God.,Eden Butler
David Bowie Made Me Gay,Music,Dash Justice wrote the songs everyone sings. His face hangs on every girl’s wall. But Dash wasn’t always a rock God. Once  he was just Jamie  the boy I loved,Eden Butler
Infamous,Music,All that up-and-coming musician Jesse Jamison has ever wanted is to be on the cover of Rolling Stone. When a gossip website nearly catches him kissing someone who isn’t his famous ,Jenny Holiday
Drive,Music,Music . . . the heart’s greatest librarian. The average song is three and a half minutes long; those three and a half minutes could lead to a slow blink  a glimpse of the past ,Kate Stewart
Trust Me ,Music,Gabe “Force” Banner’s life is in shambles. The only career he knows and wants is to be the drummer of Sole Regret  so he will try anything to get his band back together,Olivia Cunning
Lou Reed: A Life,Music,The essential biography of one of music's most influential icons: Lou ReedAs lead singer and songwriter for the Velvet Underground and a renowned solo artist  Lou Reed invented alternative rock. ,Anthony DeCurtis 
Sticky Fingers,Music,A delicious romp through the heyday of rock and roll and a revealing portrait of the man at the helm of the iconic magazine that made it all possible,Joe Hagan 
What Does This Button Do?: An Autobiography,Music,NEW YORK TIMES BESTSELLER A long-awaited memoir from the larger-than-life  multifaceted lead vocalist of Iron Maiden  one of the most successful  influential and enduring rock bands ever,Bruce Dickinson 
Tainted Butterfly ,Music,We have a history.From USA Today bestselling author Terri Anne Browning  comes a new ROCKER series—Tainted Knights.His childhood was full of darkness and all I have ever wanted was to give him the light,Terri Anne Browning 
Prince: A Private View,Music,Featuring a foreword by Beyoncé Knowles-Carter. Afshin Shahidi met Prince in 1993 and soon became his cinematographer and later one of the only people allowed to photograph him. ,Afshin Shahidi 
Bang ,Music,Book 5 in the Hard Rock Harlots Series Some people think touring with a bunch of hardcore rockers would be a dream come true. It isn't. Most days  life on the bus is more like a nightmare made fles,Kendall Grey
Mama Africa!,Music,Miriam Makeba  a Grammy Award–winning South African singer  rose to fame in the hearts of her people at the pinnacle of apartheid?a brutal system of segregation similar to American Jim Crow laws. ,Kathryn Erskine 
Marco Hietala - Stainless,Music,The Pioneer's Rude Story of Finnish Iron Metal. Marco is the bassist-soloist of Nightwish's most internationally successful band in Finland. As the founder of the legendary Tarot band ,Timo Kangasluoma 
The Peculiar Incident on Shady Street,Music,A girl unravels a centuries-old mystery after moving into a haunted house in this deliciously suspenseful mystery. Tessa Woodward isn’t exactly thrilled to move to rainy  ,Lindsay Currie
Things Are What You Make of Them,Music,Insights and inspiration for anyone who makes art (or anything else)  from the popular author of 1 Page at a Time and Pick Me Up From the creative mind and heart of Adam J. Kurtz ,Adam J. Kurtz
The Handmaid's Tale ,Feminism,Offred is a Handmaid in the Republic of Gilead. She may leave the home of the Commander and his wife once a day to walk to food markets whose signs are now pictures instead of words because women are no longer allowed to read. She must lie on her back once a month and pray that the Commander makes her pregnant  because in an age of declining births  Offred and the other Handmaids are valued only if their ovaries are viable. Offred can remember the years before  when she lived and made love with her husband  Luke; when she played with and protected her daughter; when she had a job  money of her own  and access to knowledge. But all of that is gone now, Margaret Atwood
The Bell Jar ,Feminism,Esther Greenwood is brilliant  beautiful  enormously talented  and successful  but slowly going under—maybe for the last time. In her acclaimed and enduring masterwork  Sylvia Plath brilliantly draws the reader into Esther's breakdown with such intensity that her insanity becomes palpably real  even rational—as accessible an experience as going to the movies. A deep penetration into the darkest and most harrowing corners of the human psyche  The Bell Jar is an extraordinary accomplishment and a haunting American classic. ,Sylvia Plath
Jane Eyre ,Feminism,Orphaned into the household of her Aunt Reed at Gateshead and subject to the cruel regime at Lowood charity school  Jane Eyre nonetheless emerges unbroken in spirit and integrity. She takes up the post of governess at Thornfield  falls in love with Mr. Rochester  and discovers the impediment to their lawful marriage in a story that transcends melodrama to portray a woman's passionate search for a wider and richer life than Victorian society traditionally allowed., Charlotte Brontë  Michael Mason
A Room of One's Own,Feminism,As relevant in its insight and indignation today as it was when first delivered in those hallowed lecture theatres  A Room of One’s Own remains both a beautiful work of literature and an incisive analysis of women and their place in the world.,Virginia Woolf
The Second Sex ,Feminism,Newly translated and unabridged in English for the first time  Simone de Beauvoir’s masterwork is a powerful analysis of the Western notion of “woman ” and a groundbreaking exploration of inequality and otherness.  This long-awaited new edition reinstates significant portions of the original French text that were cut in the first English translation. Vital and groundbreaking  Beauvoir’s pioneering and impressive text remains as pertinent today as it was sixty years ago  and will continue to provoke and inspire generations of men and women to come. , Simone de Beauvoir  H.M. Parshley
Pride and Prejudice,Feminism,“It is a truth universally acknowledged  that a single man in possession of a good fortune must be in want of a wife.” So begins Pride and Prejudice  Jane Austen’s witty comedy of manners—one of the most popular novels of all time—that features splendidly civilized sparring between the proud Mr. Darcy and the prejudiced Elizabeth Bennet as they play out their spirited courtship in a series of eighteenth-century drawing-room intrigues. Renowned literary critic and historian George Saintsbury in 1894 declared it the “most perfect  the most characteristic  the most eminently quintessential of its author’s works ” and Eudora Welty in the twentieth century described it as “irresistible and as nearly flawless as any fiction could be.”, Jane Austen
The Color Purple,Feminism,The Color Purple is a 1982 epistolary novel by American author Alice Walker which won the 1983 Pulitzer Prize for Fiction and the National Book Award for Fiction. It was later adapted into a film and musical of the same name., Alice Walker
The Yellow Wallpaper and Other Stories,Feminism,"Written from a feminist perspective  often focusing on the inferior status accorded to women by society  the tales include ""turned "" an ironic story with a startling twist  in which a husband seduces and impregnates a naïve servant; ""Cottagette "" concerning the romance of a young artist and a man who's apparently too good to be true; ""Mr. Peebles' Heart "" a liberating tale of a fiftyish shopkeeper whose sister-in-law  a doctor  persuades him to take a solo trip to Europe  with revivifying results; ""The Yellow Wallpaper""; and three other outstanding stories.",Charlotte Perkins Gilman
The Vagina Monologues,Feminism,I decided to talk to women about their vaginas  to do vagina interviews  which became vagina monologues...At first women were reluctant to talk. They were a little shy. But once they got going  you couldn't stop them. Women secretly love to talk about their vaginas. They get very excited  mainly because no one's ever asked them before., Eve Ensler
The Feminine Mystique,Feminism,Landmark  groundbreaking  classic—these adjectives barely do justice to the pioneering vision and lasting impact of The Feminine Mystique. Published in 1963  it gave a pitch-perfect description of “the problem that has no name”: the insidious beliefs and institutions that undermined women’s confidence in their intellectual capabilities and kept them in the home. Writing in a time when the average woman first married in her teens and 60 percent of women students dropped out of college to marry  Betty Friedan captured the frustrations and thwarted ambitions of a generation and showed women how they could reclaim their lives. Part social chronicle  part manifesto  The Feminine Mystique is filled with fascinating anecdotes and interviews as well as insights that continue to inspire. This 50th–anniversary edition features an afterword by best-selling author Anna Quindlen as well as a new introduction by Gail Collins. , Betty Friedan
I Know Why the Caged Bird Sings,Feminism,"Sent by their mother to live with their devout  self-sufficient grandmother in a small Southern town  Maya and her brother  Bailey  endure the ache of abandonment and the prejudice of the local ""powhitetrash."" At eight years old and back at her mother’s side in St. Louis  Maya is attacked by a man many times her age—and has to live with the consequences for a lifetime. Years later  in San Francisco  Maya learns that love for herself  the kindness of others  her own strong spirit  and the ideas of great authors (""I met and fell in love with William Shakespeare"") will allow her to be free instead of imprisoned.", Maya Angelou
The Awakening,Feminism,When first published in 1899  The Awakening shocked readers with its honest treatment of female marital infidelity. Audiences accustomed to the pieties of late Victorian romantic fiction were taken aback by Chopin's daring portrayal of a woman trapped in a stifling marriage  who seeks and finds passionate physical love outside the confines of her domestic situation., Kate Chopin
The Beauty Myth,Feminism,"The bestselling classic that redefined our view of the relationship between beauty and female identity. In today's world  women have more power  legal recognition  and professional success than ever before. Alongside the evident progress of the women's movement  however  writer and journalist Naomi Wolf is troubled by a different kind of social control  which  she argues  may prove just as restrictive as the traditional image of homemaker and wife. It's the beauty myth  an obsession with physical perfection that traps the modern woman in an endless spiral of hope  self-consciousness  and self-hatred as she tries to fulfill society's impossible definition of ""the flawless beauty."" ", Naomi Wolf 
Beloved ,Feminism,Staring unflinchingly into the abyss of slavery  this spellbinding novel transforms history into a story as powerful as Exodus and as intimate as a lullaby. , Toni Morrison
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Self-help,In The 7 Habits of Highly Effective People  author Stephen R. Covey presents a holistic  integrated  principle-centered approach for solving personal and professional problems. With penetrating insights and pointed anecdotes  Covey reveals a step-by-step pathway for living with fairness  integrity  service  and human dignity -- principles that give us the security to adapt to change and the wisdom and power to take advantage of the opportunities that change creates., Stephen R. Covey
How to Win Friends and Influence People,Self-help,Since its release in 1936  How to Win Friends and Influence People has sold more than 15 million copies. Dale Carnegie's first book is a timeless bestseller  packed with rock-solid advice that has carried thousands of now famous people up the ladder of success in their business and personal lives.,Dale Carnegie
The Reframe: Reframe Relationships,Self-help,The Reframe is a self-improvement book with the primary goal of attracting a desirable mate from a male's perspective. , Brian Maddox 
Oh  The Places You'll Go!,Self-help,In this joyous ode to life  Dr. Seuss addresses graduates of all ages  from nursery school to medical school  and gives them the get-up-and-go to move mountains with the unrivaled exuberance and charm that have made Dr. Seuss's books favorites for years., Dr. Seuss
Think and Grow Rich,Self-help,"This is the original 1937 version of Napoleon Hill's Classic Book: ""Think and Grow Rich"". To the greatest extent possible  the text and formatting have been kept exactly the same as in the original release with the exception of some minor formatting changes.", Napoleon Hill
Getting Things Done: The Art of Stress-Free Productivity,Self-help,In today's world  yesterday's methods just don't work. In Getting Things Done  veteran coach and management consultant David Allen shares the breakthrough methods for stress-free performance that he has introduced to tens of thousands of people across the country. Allen's premise is simple: our productivity is directly proportional to our ability to relax. Only when our minds are clear and our thoughts are organized can we achieve effective productivity and unleash our creative potential. In Getting Things Done Allen shows how to:, David Allen
The Power of Now: A Guide to Spiritual Enlightenment,Self-help,"Eckhart Tolle's message is simple: living in the now is the truest path to happiness and enlightenment. And while this message may not seem stunningly original or fresh  Tolle's clear writing  supportive voice and enthusiasm make this an excellent manual for anyone who's ever wondered what exactly ""living in the now"" means. Foremost  Tolle is a world-class teacher  able to explain complicated concepts in concrete language. More importantly  within a chapter of reading this book  readers are already holding the world in a different container--more conscious of how thoughts and emotions get in the way of their ability to live in genuine peace and happiness.", Eckhart Tolle
The Art of Happiness,Self-help,"Nearly every time you see him  he's laughing  or at least smiling. And he makes everyone else around him feel like smiling. He's the Dalai Lama  the spiritual and temporal leader of Tibet  a Nobel Prize winner  and an increasingly popular speaker and statesman. What's more  he'll tell you that happiness is the purpose of life  and that ""the very motion of our life is towards happiness."" How to get there has always been the question. He's tried to answer it before  but he's never had the help of a psychiatrist to get the message across in a context we can easily understand. Through conversations  stories  and meditations  the Dalai Lama shows us how to defeat day-to-day anxiety  insecurity  anger  and discouragement. Together with Dr. Cutler  he explores many facets of everyday life  including relationships  loss  and the pursuit of wealth  to illustrate how to ride through life's obstacles on a deep and abiding source of inner peace.", Dalai Lama XIV
The Road Less Traveled: A New Psychology of Love  Traditional Values and Spiritual Growth,Self-help," ""Psychotherapy is all things to all people in this mega-selling pop-psychology watershed  which features a new introduction by the author in this 25th anniversary edition. His agenda in this tome  which was first published in 1978 but didn't become a bestseller until 1983  is to reconcile the psychoanalytic tradition with the conflicting cultural currents roiling the 70s. In the spirit of Me-Decade individualism and libertinism  he celebrates self-actualization as life's highest purpose and flirts with the notions of open marriage and therapeutic sex between patient and analyst. But because he is attuned to the nascent conservative backlash against the therapeutic worldview  Peck also cites Gospel passages  recruits psychotherapy to the cause of traditional religion (he even convinces a patient to sign up for divinity school) and insists that problems must be overcome through suffering  discipline and hard work (with a therapist.) Often departing from the cerebral and rationalistic bent of Freudian discourse for a mystical  Jungian tone more compatible with New Age spirituality  Peck writes of psychotherapy as an exercise in ""love"" and ""spiritual growth "" asserts that ""our unconscious is God"" and affirms his belief in miracles  reincarnation and telepathy. Peck's synthesis of such clashing elements (he even throws in a little thermodynamics) is held together by a warm and lucid discussion of psychiatric principles and moving accounts of his own patients' struggles and breakthroughs. Harmonizing psychoanalysis and spirituality  Christ and Buddha  Calvinist work ethic and interminable talking cures  this book is a touchstone of our contemporary religio-therapeutic culture."" ", M. Scott Peck
The Four Agreements: A Practical Guide to Personal Freedom,Self-help,In The Four Agreements  don Miguel Ruiz reveals the source of self-limiting beliefs that rob us of joy and create needless suffering. Based on ancient Toltec wisdom  the Four Agreements offer a powerful code of conduct that can rapidly transform our lives to a new experience of freedom  true happiness  and love. The Four Agreements are: Be Impeccable With Your Word  Don't Take Anything Personally  Don't Make Assumptions  Always Do Your Best. ,Miguel Ruiz
Tuesdays with Morrie: An Old Man  a Young Man  and Life's Greatest Lesson,Self-help,Maybe it was a grandparent  or a teacher  or a colleague. Someone older  patient and wise  who understood you when you were young and searching  helped you see the world as a more profound place  gave you sound advice to help you make your way through it., Mitch Albom
The Secret,Self-help,The Secret’s 10th Anniversary Edition includes a new foreword by Rhonda Byrne  and 10 of the most life-changing insights she’s had over the last 10 years of practicing and living The Secret every day. The 10 insights alone will accelerate your understanding and mastery of the law of attraction.,Rhonda Byrne
The Invisible Game: Mindset of a Winning Team,Self-help,Competitive gaming and eSports among youths became a major theme these days. For an e-Athlete  having the best strategy or belonging to a team with the best skills are sometimes not enough for success. Real life tournaments are tougher than we can imagine., Zoltan Andrejkovics
As a Man Thinketh,Self-help,Purity of mind leads inevitably to purity of life  to the precious love and understanding that should control our everyday acts and attitudes towards friends and foes.,James Allen
The God of Small Things,Indian Books,The year is 1969. In the state of Kerala  on the southernmost tip of India  fraternal twins Esthappen and Rahel fashion a childhood for themselves in the shade of the wreck that is their family. Their lonely  lovely mother  Ammu  (who loves by night the man her children love by day)  fled an abusive marriage to live with their blind grandmother  Mammachi (who plays Handel on her violin)  their beloved uncle Chacko (Rhodes scholar  pickle baron  radical Marxist  bottom-pincher)  and their enemy  Baby Kochamma (ex-nun and incumbent grandaunt). When Chacko's English ex-wife brings their daughter for a Christmas visit  the twins learn that things can change in a day  that lives can twist into new  ugly shapes  even cease forever  beside their river..., Arundhati Roy 
The White Tiger,Indian Books,Introducing a major literary talent  The White Tiger offers a story of coruscating wit  blistering suspense  and questionable morality  told by the most volatile  captivating  and utterly inimitable narrator that this millennium has yet seen. , Aravind Adiga
A Fine Balance,Indian Books,With a compassionate realism and narrative sweep that recall the work of Charles Dickens  this magnificent novel captures all the cruelty and corruption  dignity and heroism  of India. , Rohinton Mistry
Shantaram,Indian Books,So begins this epic  mesmerizing first novel set in the underworld of contemporary Bombay. Shantaram is narrated by Lin  an escaped convict with a false passport who flees maximum security prison in Australia for the teeming streets of a city where he can disappear., Gregory David Roberts
Siddhartha,Indian Books,Herman Hesse's classic novel has delighted  inspired  and influenced generations of readers  writers  and thinkers. In this story of a wealthy Indian Brahmin who casts off a life of privilege to seek spiritual fulfillment. Hesse synthesizes disparate philosophies--Eastern religions  Jungian archetypes  Western individualism--into a unique vision of life as expressed through one man's search for meaning. , Hermann Hesse
Midnight's Children,Indian Books,Born at the stroke of midnight  at the precise moment of India's independence  Saleem Sinai is destined from birth to be special. For he is one of 1 001 children born in the midnight hour  children who all have special gifts  children with whom Saleem is telepathically linked., Salman Rushdie
Life of Pi,Indian Books,"Life of Pi is a fantasy adventure novel by Yann Martel published in 2001. The protagonist  Piscine Molitor ""Pi"" Patel  a Tamil boy from Pondicherry  explores issues of spirituality and practicality from an early age. He survives 227 days after a shipwreck while stranded on a boat in the Pacific Ocean with a Bengal tiger named Richard Parker.", Yann Martel
Interpreter of Maladies,Indian Books,"Navigating between the Indian traditions they've inherited and the baffling new world  the characters in Jhumpa Lahiri's elegant  touching stories seek love beyond the barriers of culture and generations. In ""A Temporary Matter "" published in The New Yorker  a young Indian-American couple faces the heartbreak of a stillborn birth while their Boston neighborhood copes with a nightly blackout. In the title story  an interpreter guides an American family through the India of their ancestors and hears an astonishing confession. Lahiri writes with deft cultural insight reminiscent of Anita Desai and a nuanced depth that recalls Mavis Gallant. ", Jhumpa Lahiri
A Passage to India,Indian Books,When Adela Quested and her elderly companion Mrs Moore arrive in the Indian town of Chandrapore  they quickly feel trapped by its insular and prejudiced 'Anglo-Indian' community. Determined to escape the parochial English enclave and explore the 'real India'  they seek the guidance of the charming and mercurial Dr Aziz  a cultivated Indian Muslim. But a mysterious incident occurs while they are exploring the Marabar caves with Aziz  and the well-respected doctor soon finds himself at the centre of a scandal that rouses violent passions among both the British and their Indian subjects. A masterly portrait of a society in the grip of imperialism  A Passage to India compellingly depicts the fate of individuals caught between the great political and cultural conflicts of the modern world. , E.M. Forster
Kim,Indian Books,Kim is set in an imperialistic world; a world strikingly masculine  dominated by travel  trade and adventure  a world in which there is no question of the division between white and non-white., Rudyard Kipling
Circle of Five,Indian Books,After a sudden lightning storm  Sam  Cassie  Ryan  Maya and Seb find that they’ve acquired strange and amazing powers. Confused and scared  they turn to Mr. Harris  a teacher in their school  who offers to help them control their powers. , Jan Raymond
Unaccustomed Earth,Indian Books,Eight stories—longer and more emotionally complex than any Lahiri has yet written—that take us from Cambridge and Seattle to India and Thailand as they enter the lives of sisters and brothers  fathers and mothers  daughters and sons  friends and lovers., Jhumpa Lahiri
The Story of My Experiments With Truth,Indian Books,Mohandas K. Gandhi is one of the most inspiring figures of our time. In his classic autobiography he recounts the story of his life and how he developed his concept of active nonviolent resistance  which propelled the Indian struggle for independence and countless other nonviolent struggles of the twentieth century., Mahatma Gandhi
A Suitable Boy,Indian Books,Vikram Seth's novel is  at its core  a love story: Lata and her mother  Mrs. Rupa Mehra  are both trying to find -- through love or through exacting maternal appraisal -- a suitable boy for Lata to marry. Set in the early 1950s  in an India newly independent and struggling through a time of crisis  A Suitable Boy takes us into the richly imagined world of four large extended families and spins a compulsively readable tale of their lives and loves. A sweeping panoramic portrait of a complex  multi ethnic society in flux  A Suitable Boy remains the story of ordinary people caught up in a web of love and ambition  humor and sadness  prejudice and reconciliation  the most delicate social etiquette and the most appalling violence., Vikram Seth
The Inheritance of Loss,Indian Books,Kiran Desai's first novel  Hullabaloo in the Guava Orchard  was published to unanimous acclaim in over twenty-two countries. Now Desai takes us to the northeastern Himalayas where a rising insurgency challenges the old way of life. , Kiran Desai
Life... Love... Kumbh…,Indian Books,The story in Life...Love...Kumbh... is told from the perspective of the three main characters- Annant  Agastaya  and Aditi. Their paths cross on January 13  2010. It is the day before the first of the eleven sacred baths of the Haridwar Maha Kumbh., Aporva Kala
Malgudi Days,Indian Books,Introducing this collection of stories  R. K. Narayan describes how in India “the writer has only to look out of the window to pick up a character and thereby a story.” Composed of powerful  magical portraits of all kinds of people  and comprising stories written over almost forty years  Malgudi Days presents Narayan’s imaginary city in full color  revealing the essence of India and of human experience. This edition includes an introduction by Pulitzer Prize- winning author Jhumpa Lahiri. , R.K. Narayan
The Ultimate Hitchhiker's Guide to the Galaxy ,Humour,Seconds before the Earth is demolished for a galactic freeway  Arthur Dent is saved by Ford Prefect  a researcher for the revised Guide. Together they stick out their thumbs to the stars and begin a wild journey through time and space., Douglas Adams
Catch-22 ,Humour,At the heart of Catch-22 resides the incomparable  malingering bombardier  Yossarian  a hero endlessly inventive in his schemes to save his skin from the horrible chances of war., Joseph Heller
Lamb: The Gospel According to Biff  Christ's Childhood Pal,Humour,"The birth of Jesus has been well chronicled  as have his glorious teachings  acts  and divine sacrifice after his thirtieth birthday. But no one knows about the early life of the Son of God  the missing years—except Biff  the Messiah's best bud  who has been resurrected to tell the story in the divinely hilarious yet heartfelt work ""reminiscent of Vonnegut and Douglas Adams"" ",Christopher Moore
A Confederacy of Dunces,Humour,"Meet Ignatius J. Reilly  the hero of John Kennedy Toole's tragicomic tale  A Confederacy of Dunces. This 30-year-old medievalist lives at home with his mother in New Orleans  pens his magnum opus on Big Chief writing pads he keeps hidden under his bed  and relays to anyone who will listen the traumatic experience he once had on a Greyhound Scenicruiser bound for Baton Rouge. (""Speeding along in that bus was like hurtling into the abyss."") But Ignatius's quiet life of tyrannizing his mother and writing his endless comparative history screeches to a halt when he is almost arrested by the overeager Patrolman Mancuso--who mistakes him for a vagrant--and then involved in a car accident with his tipsy mother behind the wheel. One thing leads to another  and before he knows it  Ignatius is out pounding the pavement in search of a job.", John Kennedy Toole
Good Omens: The Nice and Accurate Prophecies of Agnes Nutter  Witch,Humour,According to The Nice and Accurate Prophecies of Agnes Nutter  Witch (the world's only completely accurate book of prophecies  written in 1655  before she exploded)  the world will end on a Saturday. Next Saturday  in fact. Just before dinner., Terry Pratchett
Calico Jack in your Garden,Humour,“Anyone who is a bit saucy  very fond of boobies and doesn't mind peeing slightly when they laugh too hard  this is the book for you!” “I have to admit that I wet myself twice while reading it but this may in part have been due to my age and a couple of bottles of a fine St. Emilion ” “Due to the laughter you owe my secretary one clean pair of knickers.”, Karl Wiggins 
The Importance of Being Earnest,Humour,Oscar Wilde's madcap farce about mistaken identities  secret engagements  and lovers entanglements still delights readers more than a century after its 1895 publication and premiere performance. The rapid-fire wit and eccentric characters of The Importance of Being Earnest have made it a mainstay of the high school curriculum for decades., Oscar Wilde
You Really Are Full of Shit  Aren't You?,Humour,Everyone has read these columns in the dentist waiting room  and I have to agree with Karl in that the majority of Agony Aunts or Advice Columnists are without exception patronising  condescending and pretentious  providing the same type of namby-pamby  wishy-washy band-aid solution for just about every dilemma; “I’m sorry to hear what you’re going through  but you know life is full of ups and downs  I’m sure if you give it time …….” In short  they are no help whatsoever. , Karl Wiggins
Sex in the Title: A Comedy about Dating  Sex  and Romance in NYC (Back When Phones Weren't So Smart),Humour,New York City  May 2000. The Internet bubble has burst and Evan  a computer programmer  is fired with an email from his boss. The next day  his girlfriend dumps him  also via email. Afraid to check any more emails  Evan desperately seeks a rebound romance but the catastrophes that ensue go from bad to hilariously worse. , Zack Love
Brain: The Man Who Wrote the Book That Changed the World,Humour,It's the classic dilemma of the writer: Do you write what's in your heart or do you write what sells? In this modern age of publishing there is a huge chasm between the best selling authors that are rich beyond their dreams and... well  everybody else. All Daniel Waterstone ever wanted to do was write the great American novel and change the landscape of modern literature forever. He has two literary books in print but no one's buying. His agent won't even accept his latest masterpiece which he poured his soul into: apparently  it's not commercial enough. In a final act of desperation  Daniel decides to write - not what's in his heart but - what he thinks will sell. Boy  did he get that one wrong..., Dermot Davis
Three Men in a Boat,Humour,Martyrs to hypochondria and general seediness  J. and his friends George and Harris decide that a jaunt up the Thames would suit them to a ‘T’. But when they set off  they can hardly predict the troubles that lie ahead with tow-ropes  unreliable weather forecasts and tins of pineapple chunks—not to mention the devastation left in the wake of J.’s small fox-terrier Montmorency., Jerome K. Jerome
Slaughterhouse-Five,Humour,Kurt Vonnegut's absurdist classic Slaughterhouse-Five introduces us to Billy Pilgrim  a man who becomes unstuck in time after he is abducted by aliens from the planet Tralfamadore. In a plot-scrambling display of virtuosity  we follow Pilgrim simultaneously through all phases of his life  concentrating on his (and Vonnegut's) shattering experience as an American prisoner of war who witnesses the firebombing of Dresden., Kurt Vonnegut Jr.
